API Key,API Key,
API Secret,API Secret,
Address,Адрес,
Amount,Стойност,
Assigned To,Възложените,
Assignment,назначение,
Auth Token,Токен за удостоверяване,
Color,Цвят,
Columns,Колони,
Comment,коментар,
Completed,завършен,
Condition,Състояние,
Contact,Контакт,
Contacts,Контакти,
Content,Съдържание,
Currency,Валута,
Date,Дата,
Default,Неустойка,
Description,Описание,
Details,Детайли,
DocType,DocType,
Document Type,Вид документ,
Due Date,Срок за плащане,
Duration,продължителност,
Email,електронна поща,
Enabled,Активен,
End Date,Крайна Дата,
Expired,Изтекъл,
Failed,Не успя,
Filters,Филтри,
First Name,Име,
Friday,Петък,
From,От,
From Date,От дата,
From User,От потребителя,
Full Name,Пълно Име,
Gender,Пол,
Group By,Групирай по,
High,Високо,
ID,Идентификатор,
Icon,икона,
Image,Изображение,
In Progress,Напред,
Is Default,Е по подразбиране,
Is Primary,Основно е,
Is Standard,Е стандартна,
Kanban,Канбан,
Key,Ключ,
Keyboard Shortcuts,Комбинация от клавиши,
Label,етикет,
Last Name,Фамилия,
Left,Наляво,
List,Списък,
Log,Журнал,
Low,Нисък,
Medium,Среда,
Mention,Споменавам,
Message,съобщение,
Middle Name,Презиме,
Mobile No,Мобилен номер,
Monday,Понеделник,
Naming Series,Поредни Номера,
Note,Забележка,
Owner,Собственик,
Pending,В очакване на,
Phone,Телефон,
Position,позиция,
Priority,Приоритет,
Public,Публичен,
Queued,На опашка,
Quick Entry,Бързо въвеждане,
Read,Четене,
Reference Doctype,Референтен Doctype,
Reference Document Type,Референтен Document Type,
Reference Name,Референтно име,
Reload,Презареди,
Right,Дясно,
Role,Роля,
Sales Manager,Мениджър Продажби,
Sales User,Продажби - потребител,
Salutation,Поздрав,
Saturday,Събота,
Script,Скрипт,
Session Defaults,Сесия по подразбиране,
Source,Източник,
Source Name,Източник Име,
Start Date,Начална Дата,
Start Time,Начален Час,
Status,Статус,
Sunday,Неделя,
System Manager,Мениджър на система,
Task,задача,
Thursday,Четвъртък,
Title,Заглавие,
Title Field,Заглавие на поле,
To,Да се,
To Date,Към Дата,
To User,За потребителя,
Tuesday,Вторник,
Twilio Number,Номер Twilio,
Twilio Settings,Настройки на Twilio,
Type,Тип,
User,потребител,
User Name,Потребителско име,
Validity,Валидност,
View Website,Виж Website,
Website,уебсайт,
Wednesday,Сряда,
blue,син,
green,зелен,
list,списък,
orange,оранжев,
purple,лилаво,
red,червен,
yellow,жълт,
